Table,File,Order,Column,Action,Type,Block,Meaning,Missing,StataName
Contracts,core/Contracts.parquet,1,DocID,keep,VARCHAR,Identification,"One registrant's copy of an Exhibit 10 attachment: the registrant's CIK and a hash of the attachment, joined by a hyphen. Unique in this table and the key every other table joins on.",never,DocID
Contracts,core/Contracts.parquet,2,HashDocument,keep,VARCHAR,Identification,"Hash of the attachment's content. Shared by all registrant copies of one document, so it groups the copies of one contract.",never,HashDocument
Contracts,core/Contracts.parquet,3,HashIndex,keep,VARCHAR,Identification,The filing that carried the attachment. Joins to Summaries (the filing's announcement) and CtoOrders.,never,HashIndex
Contracts,core/Contracts.parquet,4,CIK,keep,VARCHAR,Identification,"The registrant's Central Index Key on EDGAR. With DateFiled, the key for matching other databases.",never,CIK
Contracts,core/Contracts.parquet,5,CompanyName,keep,VARCHAR,Identification,The registrant's name as EDGAR recorded it for this filing.,never,CompanyName
Contracts,core/Contracts.parquet,6,DocName,keep,VARCHAR,Identification,EDGAR's file name of the attachment. With the CIK and the accession number it locates the document on EDGAR.,never,DocName
Contracts,core/Contracts.parquet,7,DocSeq,keep,INTEGER,Identification,Position of the attachment in the filing's list of documents.,never,DocSeq
Contracts,core/Contracts.parquet,8,UrlDocument,keep,VARCHAR,Identification,Address of the attachment on EDGAR.,never,UrlDocument
Contracts,core/Contracts.parquet,9,UrlIndexPage,keep,VARCHAR,Identification,"Address of the filing's index page on EDGAR, which lists every document of the filing and contains the accession number.",never,UrlIndexPage
Contracts,core/Contracts.parquet,10,DocTypeRaw,keep,VARCHAR,Identification,"The exhibit type as filed, such as EX-10.1 or EX-10.23.",never,DocTypeRaw
Contracts,core/Contracts.parquet,11,DocTypeMod,keep,VARCHAR,Identification,The exhibit type reduced to its family: Exhibit10 on every row of this table.,never,DocTypeMod
Contracts,core/Contracts.parquet,12,DocDesc,keep,VARCHAR,Identification,"The filer's own description of the exhibit, as free text.",the filer gave none,DocDesc
Contracts,core/Contracts.parquet,13,FormType,keep,VARCHAR,Identification,"The form the attachment was filed with: 8-K, 10-K, 10-Q, S-1 and so on.",never,FormType
Contracts,core/Contracts.parquet,14,DocExt,keep,VARCHAR,Identification,"File type of the attachment: htm, html, txt or pdf; a few are written in upper case.",never,DocExt
Contracts,core/Contracts.parquet,15,DateFiled,keep,DATE,Identification,The day EDGAR accepted the filing.,never,DateFiled
Contracts,core/Contracts.parquet,16,nWords,keep,INTEGER,Text,Words in the attachment's text.,the attachment holds no readable text,nWords
Contracts,core/Contracts.parquet,17,nWordsAdj,keep,INTEGER,Text,nWords without the words of EDGAR's document header.,the attachment holds no readable text,nWordsAdj
Contracts,core/Contracts.parquet,18,nChars,keep,INTEGER,Text,Characters in the attachment's text (TextRaw in text/). Every span offset counts characters of this text.,the attachment holds no readable text,nChars
Contracts,core/Contracts.parquet,19,nNums,keep,INTEGER,Text,Numeric tokens in the text.,the attachment holds no readable text,nNums
Contracts,core/Contracts.parquet,20,pStopShort,keep,DOUBLE,Text,Share of tokens that are short function words. A low value marks a document that is not running prose.,the attachment holds no readable text,pStopShort
Contracts,core/Contracts.parquet,21,Removed,keep,BOOLEAN,Screening,"TRUE where the attachment failed the screen for usable text (reason in RemClass). These attachments stay in the table, flagged, so that what was set aside remains visible.",never,Removed
Contracts,core/Contracts.parquet,22,RemClass,keep,VARCHAR,Screening,"Why the attachment was set aside: too short, not prose, mostly digits, or no readable text.",Removed is FALSE,RemClass
Contracts,core/Contracts.parquet,23,nCIK,keep,INTEGER,Copies,Number of registrants the filing names.,never,nCIK
Contracts,core/Contracts.parquet,24,MultFiler,keep,INTEGER,Copies,"1 where the filing names more than one registrant, so that the attachment appears once per registrant.",never,MultFiler
Contracts,core/Contracts.parquet,25,FilerCopiesAgree,keep,INTEGER,Copies,"1 where all registrant copies of the attachment have the same length. Where they differ (one attachment in the corpus), the entity variables describe the primary copy.",never,FilerCopiesAgree
Contracts,core/Contracts.parquet,26,PrimaryFiler,keep,INTEGER,Copies,1 on the one copy of each attachment the entity variables were computed from; the other copies carry the same values. Count contracts on PrimaryFiler == 1.,never,PrimaryFiler
Contracts,core/Contracts.parquet,27,gvkey,drop,VARCHAR,Compustat,Compustat company identifier. Not published: Compustat is licensed. The match can be rebuilt from CIK and DateFiled.,never,gvkey
Contracts,core/Contracts.parquet,28,datadate,drop,DATE,Compustat,Compustat fiscal period end. Not published.,never,datadate
Contracts,core/Contracts.parquet,29,cyear,drop,DOUBLE,Compustat,Calendar year of datadate. Not published.,never,cyear
Contracts,core/Contracts.parquet,30,fyear,drop,INTEGER,Compustat,Compustat fiscal year. Not published.,never,fyear
Contracts,core/Contracts.parquet,31,fqtr,drop,INTEGER,Compustat,Compustat fiscal quarter. Not published.,never,fqtr
Contracts,core/Contracts.parquet,32,SampleStepCode,keep,INTEGER,Sample,"The step of the paper's sample selection at which the attachment leaves the sample, as a sortable code; 6 is the final sample.",never,SampleStepCode
Contracts,core/Contracts.parquet,33,SampleStepDesc,keep,VARCHAR,Sample,"The same step in words: outside 2001-2024, malformed document, CIK not in Compustat, several Compustat quarters matched, no Compustat match on the filing date, or final sample.",never,SampleStepDesc
Contracts,core/Contracts.parquet,34,DescSample,keep,INTEGER,Sample,1 where the attachment is in the paper's descriptive sample.,never,DescSample
Contracts,core/Contracts.parquet,35,EstiSample,keep,INTEGER,Sample,"1 where the attachment is in the paper's estimation sample, which requires a Compustat match on CIK and filing date. The matched Compustat data are not published.",never,EstiSample
Contracts,core/Contracts.parquet,36,HasCto,keep,INTEGER,Orders,1 where a confidential treatment order granted treatment for this contract. Orders that denied or revoked treatment do not count.,never,HasCto
Contracts,core/Contracts.parquet,37,nCtoOrders,keep,INTEGER,Orders,"Number of granting confidential treatment orders that name the contract, extensions included.",never,nCtoOrders
Contracts,core/Contracts.parquet,38,CtoReleaseFirst,keep,DATE,Orders,"Earliest date on which the granted treatment ends, across those orders.","no granting order names the contract, or none states an end date (common after 2019)",CtoReleaseFirst
Contracts,core/Contracts.parquet,39,CtoReleaseLast,keep,DATE,Orders,"Latest date on which the granted treatment ends, across those orders.",as CtoReleaseFirst,CtoReleaseLast
Contracts,core/Contracts.parquet,40,CtoIsExtension,keep,INTEGER,Orders,1 where any of those orders extends an earlier grant.,never,CtoIsExtension
Contracts,core/Contracts.parquet,41,nItems,keep,INTEGER,Items,Number of items the filing that carried the attachment reports (8-K filings).,"the filing reports no items (10-K, 10-Q and other forms)",nItems
Contracts,core/Contracts.parquet,42,nItemsDotted,keep,INTEGER,Items,"How many of those items use the numbering introduced in 2004 (1.01, 2.02, ...).","the filing reports no items (10-K, 10-Q and other forms)",nItemsDotted
Contracts,core/Contracts.parquet,43,nItemsVoluntary,keep,INTEGER,Items,"Items the registrant chose to report: 2.02, 7.01 and 8.01 from 2004, and their predecessors 12, 9 and 5 before.","the filing reports no items (10-K, 10-Q and other forms)",nItemsVoluntary
Contracts,core/Contracts.parquet,44,nItemsMandatory,keep,INTEGER,Items,"Items the registrant had to report, triggered by an event.","the filing reports no items (10-K, 10-Q and other forms)",nItemsMandatory
Contracts,core/Contracts.parquet,45,nItemsUnknown,keep,INTEGER,Items,Items whose code belongs to neither numbering; zero on every row of this table.,"the filing reports no items (10-K, 10-Q and other forms)",nItemsUnknown
Contracts,core/Contracts.parquet,46,ItemEra,keep,VARCHAR,Items,"Which numbering the filing uses: Post (from 2004), Pre, or Mixed. Read from the codes, not the date.","the filing reports no items (10-K, 10-Q and other forms)",ItemEra
Contracts,core/Contracts.parquet,47,ItemCodes,keep,VARCHAR,Items,"Every item the filing reports, separated by |, in the order reported.","the filing reports no items (10-K, 10-Q and other forms)",ItemCodes
Contracts,core/Contracts.parquet,48,ReportsItem101,keep,INTEGER,Items,"1 where the filing reports Item 1.01, entry into a material definitive agreement.","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem101
Contracts,core/Contracts.parquet,49,ReportsItem202,keep,INTEGER,Items,"1 where the filing reports Item 2.02, results of operations (Item 12 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem202
Contracts,core/Contracts.parquet,50,ReportsItem701,keep,INTEGER,Items,"1 where the filing reports Item 7.01, Regulation FD disclosure (Item 9 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem701
Contracts,core/Contracts.parquet,51,ReportsItem801,keep,INTEGER,Items,"1 where the filing reports Item 8.01, other events (Item 5 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem801
Contracts,core/Contracts.parquet,52,ReportsItem901,keep,INTEGER,Items,"1 where the filing reports Item 9.01, financial statements and exhibits (Item 7 before 2004).","the filing reports no items (10-K, 10-Q and other forms)",ReportsItem901
Contracts,core/Contracts.parquet,53,SumDates,keep,INTEGER,Announcement,Distinct agreement dates at the start of the filing's Item 1.01 text: a proxy for the number of agreements it announces.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumDates
Contracts,core/Contracts.parquet,54,SumIsSingle,keep,INTEGER,Announcement,1 where that text names exactly one agreement date.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumIsSingle
Contracts,core/Contracts.parquet,55,SumWords,keep,INTEGER,Announcement,"Words in the Item 1.01 text, without its heading and title.","the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumWords
Contracts,core/Contracts.parquet,56,SumSentences,keep,INTEGER,Announcement,Sentences in that text.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumSentences
Contracts,core/Contracts.parquet,57,SumComplex,keep,INTEGER,Announcement,Words of three or more syllables in that text.,"the filing is not an 8-K, or its Item 1.01 text could not be recovered",SumComplex
